show_id,type,title,director,cast,country,date_added,release_year,rating,genres,language,popularity,vote_count,vote_average,budget,revenue,ROI
823452,Movie,The Boys in the Boat,George Clooney,"Joel Edgerton, Callum Turner, Peter Guinness, Sam Strike, Thomas Elms",United States of America,2023-12-25,2023,7.3,"Drama, History",en,13.881,273,7.3,40000000,54401583,1.36
989672,Movie,Just the Two of Us,Valérie Donzelli,"Virginie Efira, Melvil Poupaud, Dominique Reymond, Romane Bohringer, Virginie Ledoyen",France,2023-05-24,2023,7.0,"Thriller, Drama, Romance",fr,13.869,284,7.0,6300000,5099005,0.81
1108211,Movie,Lost in the Stars,"Xiang Liu, Rui Cui","Zhu Yilong, Ni Ni, Janice Man, Du Jiang, Vincent Matile",China,2023-06-22,2023,6.5,"Mystery, Crime, Thriller",zh,13.794,83,6.5,9500000,334039200,35.16
869612,Movie,Master Gardener,Paul Schrader,"Joel Edgerton, Sigourney Weaver, Quintessa Swindell, Esai Morales, Eduardo Losan","Australia, United States of America",2023-05-19,2023,6.1,"Drama, Crime, Mystery, Thriller",en,13.705,261,6.1,4100000,1506008,0.37
719256,Movie,Jesus Revolution,"Brent McCorkle, Jon Erwin","Joel Courtney, Kelsey Grammer, Jonathan Roumie, Kimberly Williams-Paisley, Anna Grace Barlow",United States of America,2023-02-23,2023,6.6,"Drama, History",en,13.45,136,6.6,15000000,52300000,3.49
715385,Movie,No Dogs or Italians Allowed,Alain Ughetto,"Ariane Ascaride, Alain Ughetto, Stefano Paganini, Diego Giuliani, Christophe Gatto","Belgium, France, Italy, Portugal, Switzerland",2023-01-25,2023,7.5,"Animation, Drama, History",fr,13.095,121,7.5,5,1395922,279184.4
823598,Movie,The Goldfinger,Felix Chong Man-Keung,"Tony Leung, Andy Lau Tak-Wah, Charlene Choi Cheuk-Yin, Simon Yam, Michael Ning","China, Hong Kong",2023-12-30,2023,6.1,"Crime, Drama",cn,13.019,44,6.1,45000000,6136329,0.14
676727,Movie,The Inventor,"Pierre-Luc Granjon, Jim Capobianco","Stephen Fry, Daisy Ridley, Marion Cotillard, Matt Berry, Natalie Palamides","France, Ireland, United States of America",2023-09-15,2023,6.3,"Animation, Drama, Family, History",en,13.003,18,6.3,10000000,2037563,0.2
986280,Movie,Fallen Leaves,Aki Kaurismäki,"Alma Pöysti, Jussi Vatanen, Janne Hyytiäinen, Nuppu Koivu, Mia Snellman","Finland, Germany",2023-09-14,2023,7.2,"Romance, Comedy, Drama",fi,12.891,572,7.2,1480000,12400000,8.38
982271,Movie,Book Club: The Next Chapter,Bill Holderman,"Diane Keaton, Jane Fonda, Candice Bergen, Mary Steenburgen, Andy García",United States of America,2023-05-11,2023,6.304,"Comedy, Romance",en,12.728,184,6.304,20000000,27849137,1.39
